lot_name,lot_date,wafer_id,die_id,vdd_core,junction_temp,leakage_current,ring_oscillator_speed,thermal_resistance,ir_drop_estimate,silicon_lot_id,fmax_predicted,pass_fail,bin
LOT-2400,2024-06-01,W01,D001,0.848,76.5,67.34,1111.1,33.05,44.01,0,1386.5307006838052,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W01,D002,0.97,60.5,37.8,1228.1,24.24,44.74,0,1707.5647550748392,PASS,BIN0-Premium
LOT-2400,2024-06-01,W01,D003,0.849,66.4,35.05,956.9,28.52,17.23,0,1336.8285730494931,PASS,BIN3-Below
LOT-2400,2024-06-01,W01,D004,0.899,78.4,44.39,1019.7,22.89,40.02,0,1429.157725140463,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W01,D005,0.906,80.6,55.27,1100.9,25.12,54.89,0,1468.763025421353,PASS,BIN1-Target
LOT-2400,2024-06-01,W01,D006,0.892,99.1,48.38,935.0,30.06,29.73,0,1311.9886923941833,PASS,BIN3-Below
LOT-2400,2024-06-01,W01,D007,0.908,47.4,22.95,1126.1,18.17,44.34,0,1569.1963720927085,PASS,BIN1-Target
LOT-2400,2024-06-01,W01,D008,1.042,72.8,37.52,1097.3,27.81,31.86,0,1736.3747546029313,PASS,BIN0-Premium
LOT-2400,2024-06-01,W02,D001,1.012,105.4,65.07,946.0,23.73,42.24,0,1540.221694883505,PASS,BIN1-Target
LOT-2400,2024-06-01,W02,D002,0.919,67.9,42.94,974.2,20.64,29.59,0,1485.116012986208,PASS,BIN1-Target
LOT-2400,2024-06-01,W02,D003,1.0,64.1,67.72,1100.1,24.7,25.07,0,1739.7648420504959,PASS,BIN0-Premium
LOT-2400,2024-06-01,W02,D004,0.904,119.6,55.91,1114.6,27.32,47.67,0,1380.3044225275587,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W02,D005,0.917,67.9,53.52,1018.7,27.95,37.28,0,1486.704132652394,PASS,BIN1-Target
LOT-2400,2024-06-01,W02,D006,0.946,83.0,72.84,984.9,21.61,45.62,0,1511.2512190168645,PASS,BIN1-Target
LOT-2400,2024-06-01,W02,D007,0.925,87.3,43.48,1052.8,26.16,19.07,0,1493.5036982242652,PASS,BIN1-Target
LOT-2400,2024-06-01,W02,D008,0.89,88.5,80.0,1105.5,23.71,24.86,0,1501.3228179525286,PASS,BIN1-Target
LOT-2400,2024-06-01,W03,D001,0.781,81.0,49.47,987.7,35.0,5.32,0,1210.798436690103,FAIL,BIN4-Low
LOT-2400,2024-06-01,W03,D002,0.93,83.3,61.43,857.8,21.67,17.05,0,1434.3865509669627,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W03,D003,0.924,85.9,56.89,1026.2,24.93,37.13,0,1472.2774887099106,PASS,BIN1-Target
LOT-2400,2024-06-01,W03,D004,0.956,82.5,27.68,952.2,25.73,24.08,0,1476.4425947225056,PASS,BIN1-Target
LOT-2400,2024-06-01,W03,D005,0.884,84.2,53.74,1157.3,26.56,29.78,0,1484.761112873855,PASS,BIN1-Target
LOT-2400,2024-06-01,W03,D006,0.938,25.0,42.46,1032.3,12.06,31.13,0,1685.2369293047257,PASS,BIN0-Premium
LOT-2400,2024-06-01,W03,D007,0.947,102.7,60.46,1276.1,31.64,15.39,0,1636.7729922861122,PASS,BIN0-Premium
LOT-2400,2024-06-01,W03,D008,0.918,78.8,55.79,981.3,27.05,43.94,0,1434.4492438750965,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W04,D001,0.988,59.4,70.26,1117.8,23.35,58.86,0,1697.4318057146204,PASS,BIN0-Premium
LOT-2400,2024-06-01,W04,D002,0.985,73.0,58.15,1339.8,31.09,46.4,0,1770.6789595551893,PASS,BIN0-Premium
LOT-2400,2024-06-01,W04,D003,0.944,83.6,56.65,866.9,28.43,39.98,0,1403.6851622843515,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W04,D004,0.85,59.5,50.7,1089.1,32.64,35.21,0,1414.0967567712644,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W04,D005,0.815,85.4,51.9,840.9,12.59,22.23,0,1220.4317367608246,FAIL,BIN4-Low
LOT-2400,2024-06-01,W04,D006,0.954,57.2,63.41,1016.3,24.92,43.43,0,1590.8798661464582,PASS,BIN1-Target
LOT-2400,2024-06-01,W04,D007,0.966,51.3,80.0,812.7,23.06,22.74,0,1562.028615973597,PASS,BIN1-Target
LOT-2400,2024-06-01,W04,D008,1.003,46.2,38.91,913.3,17.11,28.13,0,1663.0015580685033,PASS,BIN0-Premium
LOT-2400,2024-06-01,W05,D001,0.873,47.0,50.2,1044.5,27.48,25.1,0,1490.6610902869197,PASS,BIN1-Target
LOT-2400,2024-06-01,W05,D002,0.919,98.7,39.31,1036.7,22.13,17.53,0,1454.2481679946693,PASS,BIN1-Target
LOT-2400,2024-06-01,W05,D003,0.924,103.1,80.0,875.2,28.6,48.23,0,1338.7484257999954,PASS,BIN3-Below
LOT-2400,2024-06-01,W05,D004,1.004,72.0,59.01,975.6,26.76,49.28,0,1600.1090298580864,PASS,BIN0-Premium
LOT-2400,2024-06-01,W05,D005,0.916,85.2,67.19,1135.1,20.65,51.35,0,1528.990170300424,PASS,BIN1-Target
LOT-2400,2024-06-01,W05,D006,0.96,83.8,54.91,1133.0,29.11,19.71,0,1616.9157243248992,PASS,BIN0-Premium
LOT-2400,2024-06-01,W05,D007,0.879,46.3,61.02,1095.9,22.24,21.81,0,1567.914463172255,PASS,BIN1-Target
LOT-2400,2024-06-01,W05,D008,1.01,112.9,78.08,1055.9,24.7,36.65,0,1604.2791092169591,PASS,BIN0-Premium
LOT-2400,2024-06-01,W06,D001,0.858,67.2,66.65,1049.6,21.62,31.98,0,1443.5048075171237,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W06,D002,1.036,109.1,70.95,1071.2,17.95,37.33,0,1681.1885769755297,PASS,BIN0-Premium
LOT-2400,2024-06-01,W06,D003,0.912,91.7,69.77,968.1,30.59,35.69,0,1401.4214976980047,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W06,D004,0.937,68.2,51.63,1061.2,23.0,31.2,0,1569.4935128044226,PASS,BIN1-Target
LOT-2400,2024-06-01,W06,D005,0.908,120.1,51.34,1140.7,24.39,5.0,0,1468.8681462372363,PASS,BIN1-Target
LOT-2400,2024-06-01,W06,D006,1.1,79.3,46.14,1207.8,31.42,28.16,0,1895.3943292297656,PASS,BIN0-Premium
LOT-2400,2024-06-01,W06,D007,0.882,61.6,59.67,1069.6,27.92,33.63,0,1482.569148052183,PASS,BIN1-Target
LOT-2400,2024-06-01,W06,D008,0.901,81.7,45.85,1129.2,26.08,41.67,0,1479.3271072746886,PASS,BIN1-Target
LOT-2400,2024-06-01,W07,D001,0.906,47.8,73.43,1180.2,20.28,45.79,0,1648.445164021477,PASS,BIN0-Premium
LOT-2400,2024-06-01,W07,D002,0.941,80.8,54.32,950.3,23.35,35.63,0,1474.4587040973229,PASS,BIN1-Target
LOT-2400,2024-06-01,W07,D003,0.944,69.7,60.16,980.1,21.48,35.95,0,1537.7496401276628,PASS,BIN1-Target
LOT-2400,2024-06-01,W07,D004,0.904,61.6,46.47,965.6,24.63,43.06,0,1440.5675221849483,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W07,D005,0.966,68.7,48.96,1081.4,15.87,45.18,0,1630.695451006353,PASS,BIN0-Premium
LOT-2400,2024-06-01,W07,D006,1.004,95.9,21.55,1080.9,14.68,45.98,0,1600.6059316571666,PASS,BIN0-Premium
LOT-2400,2024-06-01,W07,D007,0.8,53.6,59.61,876.9,10.13,21.76,0,1312.036179467234,PASS,BIN3-Below
LOT-2400,2024-06-01,W07,D008,0.957,58.2,37.67,1068.8,23.9,49.72,0,1588.231198386261,PASS,BIN1-Target
LOT-2400,2024-06-01,W08,D001,0.91,69.6,70.32,966.1,18.42,40.38,0,1483.2574695723104,PASS,BIN1-Target
LOT-2400,2024-06-01,W08,D002,0.894,52.7,63.42,1156.5,17.9,30.39,0,1618.64814476234,PASS,BIN0-Premium
LOT-2400,2024-06-01,W08,D003,0.902,80.7,47.52,867.3,24.12,30.88,0,1351.3236025050153,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W08,D004,0.939,97.3,66.58,1100.6,10.79,22.48,0,1592.2006189186054,PASS,BIN1-Target
LOT-2400,2024-06-01,W08,D005,0.936,100.6,38.86,955.1,32.64,5.0,0,1417.0803353612205,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W08,D006,0.911,70.5,48.15,1005.9,27.2,46.44,0,1444.0106542552717,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W08,D007,1.1,120.2,53.56,1080.9,29.31,60.0,0,1685.1675298769096,PASS,BIN0-Premium
LOT-2400,2024-06-01,W08,D008,0.921,92.4,51.83,1194.7,17.22,36.89,0,1569.3178252801135,PASS,BIN1-Target
LOT-2400,2024-06-01,W09,D001,0.949,89.7,48.58,1023.5,29.77,33.87,0,1486.2537142567985,PASS,BIN1-Target
LOT-2400,2024-06-01,W09,D002,0.966,68.8,40.57,1001.4,34.6,31.76,0,1534.7822324374347,PASS,BIN1-Target
LOT-2400,2024-06-01,W09,D003,0.936,97.8,60.29,1117.2,35.0,46.36,0,1477.7054613793061,PASS,BIN1-Target
LOT-2400,2024-06-01,W09,D004,0.884,87.5,45.8,1010.6,29.48,36.05,0,1361.0827114171987,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W09,D005,0.915,62.4,56.87,1019.5,28.96,37.65,0,1497.6832403520507,PASS,BIN1-Target
LOT-2400,2024-06-01,W09,D006,0.923,125.0,59.49,965.0,17.86,21.57,0,1383.9997093782486,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W09,D007,0.85,71.8,54.14,1122.7,18.97,29.42,0,1458.2514168635846,PASS,BIN1-Target
LOT-2400,2024-06-01,W09,D008,0.897,106.5,56.61,1103.4,29.6,37.81,0,1402.259965411526,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W10,D001,0.906,73.9,53.91,1022.0,22.86,57.94,0,1439.2593338632869,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W10,D002,0.852,38.6,60.16,1215.9,22.68,45.1,0,1573.1370550145145,PASS,BIN1-Target
LOT-2400,2024-06-01,W10,D003,1.031,75.2,57.73,952.4,20.86,30.27,0,1671.9103570382013,PASS,BIN0-Premium
LOT-2400,2024-06-01,W10,D004,0.976,109.7,64.92,947.6,20.15,30.75,0,1493.3752069415166,PASS,BIN1-Target
LOT-2400,2024-06-01,W10,D005,0.933,91.8,32.25,926.4,33.04,40.92,0,1354.0731965032376,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W10,D006,0.958,52.4,70.29,1119.3,16.86,20.63,0,1738.6130508397075,PASS,BIN0-Premium
